Start Date,1/1/2020
End Date,12/31/2023
CURRENCY,GBP
,HSBA LN Equity
,last_price
Dates,PX_LAST
14/10/2022,4.588
17/10/2022,4.713
18/10/2022,4.658
19/10/2022,4.74
20/10/2022,4.729
21/10/2022,4.779
24/10/2022,4.751
25/10/2022,4.427
26/10/2022,4.44
27/10/2022,4.502
28/10/2022,4.422
31/10/2022,4.473
1/11/2022,4.586
2/11/2022,4.568
3/11/2022,4.632
4/11/2022,4.9
7/11/2022,4.794
8/11/2022,4.787
9/11/2022,4.767
10/11/2022,4.741
11/11/2022,4.702
14/11/2022,4.803
15/11/2022,4.8
16/11/2022,4.755
17/11/2022,4.812
18/11/2022,4.789
21/11/2022,4.835
22/11/2022,4.869
23/11/2022,4.892
24/11/2022,4.895
25/11/2022,4.92
28/11/2022,4.886
29/11/2022,5.103
30/11/2022,5.097
1/12/2022,4.979
2/12/2022,4.985
5/12/2022,5
6/12/2022,4.986
7/12/2022,4.939
8/12/2022,4.953
9/12/2022,4.962
12/12/2022,4.964
13/12/2022,5.001
14/12/2022,4.977
15/12/2022,4.927
16/12/2022,4.923
19/12/2022,4.958
20/12/2022,5.028
21/12/2022,5.113
22/12/2022,5.123
23/12/2022,5.103
26/12/2022,5.103
27/12/2022,5.103
28/12/2022,5.18
29/12/2022,5.188
30/12/2022,5.157
2/1/2023,5.157
3/1/2023,5.299
4/1/2023,5.435
5/1/2023,5.653
6/1/2023,5.686
9/1/2023,5.632
10/1/2023,5.641
11/1/2023,5.696
12/1/2023,5.818
13/01/2023,5.912
16/01/2023,5.961
17/01/2023,5.912
18/01/2023,5.907
19/01/2023,5.855
20/01/2023,5.926
23/01/2023,5.921
24/01/2023,5.948
25/01/2023,5.985
26/01/2023,6.039
27/01/2023,6.005
30/01/2023,6.02
31/01/2023,5.964
1/2/2023,6.013
2/2/2023,5.91
3/2/2023,5.967
6/2/2023,5.96
7/2/2023,6.05
8/2/2023,6.124
9/2/2023,6.158
10/2/2023,6.106
13/02/2023,6.137
14/02/2023,6.092
15/02/2023,6.123
16/02/2023,6.184
17/02/2023,6.211
20/02/2023,6.207
21/02/2023,6.475
22/02/2023,6.361
23/02/2023,6.301
24/02/2023,6.357
27/02/2023,6.318
28/02/2023,6.356
1/3/2023,6.403
2/3/2023,6.19
3/3/2023,6.183
6/3/2023,6.178
7/3/2023,6.243
8/3/2023,6.307
9/3/2023,6.211
10/3/2023,5.926
13/03/2023,5.681
14/03/2023,5.77
15/03/2023,5.484
16/03/2023,5.581
17/03/2023,5.421
20/03/2023,5.417
21/03/2023,5.54
22/03/2023,5.646
23/03/2023,5.482
24/03/2023,5.34
27/03/2023,5.411
28/03/2023,5.411
29/03/2023,5.54
30/03/2023,5.553
31/03/2023,5.497
3/4/2023,5.564
4/4/2023,5.512
5/4/2023,5.542
6/4/2023,5.629
7/4/2023,5.629
10/4/2023,5.629
11/4/2023,5.624
12/4/2023,5.616
13/04/2023,5.673
14/04/2023,5.843
17/04/2023,5.781
18/04/2023,5.746
19/04/2023,5.734
20/04/2023,5.751
21/04/2023,5.737
24/04/2023,5.733
25/04/2023,5.663
26/04/2023,5.717
27/04/2023,5.754
28/04/2023,5.738
1/5/2023,5.738
2/5/2023,5.939
3/5/2023,5.932
4/5/2023,5.84
5/5/2023,5.998
8/5/2023,5.998
9/5/2023,5.993
10/5/2023,6.011
11/5/2023,5.936
12/5/2023,5.997
15/05/2023,6.11
16/05/2023,6.057
17/05/2023,6.03
18/05/2023,6.129
19/05/2023,6.108
22/05/2023,6.172
23/05/2023,6.178
24/05/2023,6.002
25/05/2023,6.064
26/05/2023,6.108
29/05/2023,6.108
30/05/2023,6.001
31/05/2023,5.905
1/6/2023,5.938
2/6/2023,6.027
5/6/2023,6.061
6/6/2023,6.108
7/6/2023,6.161
8/6/2023,6.11
9/6/2023,6.075
12/6/2023,6.053
13/06/2023,6.096
14/06/2023,6.108
15/06/2023,6.094
16/06/2023,6.118
19/06/2023,6.15
20/06/2023,6.152
21/06/2023,6.181
22/06/2023,6.067
23/06/2023,6.022
26/06/2023,6.041
27/06/2023,6.103
28/06/2023,6.133
29/06/2023,6.188
30/06/2023,6.217
3/7/2023,6.276
4/7/2023,6.247
5/7/2023,6.219
6/7/2023,6.104
7/7/2023,6.099
10/7/2023,6.069
11/7/2023,6.009
12/7/2023,6.158
13/07/2023,6.142
14/07/2023,6.131
17/07/2023,6.179
18/07/2023,6.237
19/07/2023,6.288
20/07/2023,6.4
21/07/2023,6.42
24/07/2023,6.427
25/07/2023,6.443
26/07/2023,6.441
27/07/2023,6.423
28/07/2023,6.468
31/07/2023,6.463
1/8/2023,6.549
2/8/2023,6.369
3/8/2023,6.392
4/8/2023,6.364
7/8/2023,6.441
8/8/2023,6.346
9/8/2023,6.36
10/8/2023,6.32
11/8/2023,6.248
14/08/2023,6.215
15/08/2023,6.003
16/08/2023,5.898
17/08/2023,5.924
18/08/2023,5.839
21/08/2023,5.833
22/08/2023,5.806
23/08/2023,5.848
24/08/2023,5.891
25/08/2023,5.878
28/08/2023,5.878
29/08/2023,5.957
30/08/2023,5.907
31/08/2023,5.831
1/9/2023,5.883
4/9/2023,5.858
5/9/2023,5.875
6/9/2023,5.853
7/9/2023,5.847
8/9/2023,5.844
11/9/2023,5.9
12/9/2023,5.973
13/09/2023,6.11
14/09/2023,6.269
15/09/2023,6.293
18/09/2023,6.23
19/09/2023,6.307
20/09/2023,6.334
21/09/2023,6.361
22/09/2023,6.431
25/09/2023,6.386
26/09/2023,6.392
27/09/2023,6.399
28/09/2023,6.449
29/09/2023,6.449
2/10/2023,6.398
3/10/2023,6.452
4/10/2023,6.405
5/10/2023,6.445
6/10/2023,6.547
9/10/2023,6.45
10/10/2023,6.578
11/10/2023,6.59
12/10/2023,6.579
13/10/2023,6.526
16/10/2023,6.513
17/10/2023,6.53
18/10/2023,6.503
19/10/2023,6.412
20/10/2023,6.159
23/10/2023,6.125
24/10/2023,6.128
25/10/2023,6.151
26/10/2023,6.091
27/10/2023,6.01
30/10/2023,5.873
31/10/2023,5.923
1/11/2023,5.901
2/11/2023,6.013
3/11/2023,6.022
6/11/2023,6.093
7/11/2023,6.083
8/11/2023,6.073
9/11/2023,6.031
10/11/2023,5.992
13/11/2023,6.079
14/11/2023,6.049
15/11/2023,6.17
16/11/2023,6.088
17/11/2023,6.154
20/11/2023,6.162
21/11/2023,6.133
22/11/2023,6.067
23/11/2023,6.117
24/11/2023,6.095
27/11/2023,6.074
28/11/2023,6.072
29/11/2023,5.948
30/11/2023,6.021
1/12/2023,6.041
4/12/2023,6.041
5/12/2023,6.034
6/12/2023,6.147
7/12/2023,6.124
8/12/2023,6.192
11/12/2023,6.164
12/12/2023,6.188
13/12/2023,6.172
14/12/2023,6.163
15/12/2023,6.09
18/12/2023,6.128
19/12/2023,6.131
20/12/2023,6.194
21/12/2023,6.225
22/12/2023,6.278
25/12/2023,6.278
26/12/2023,6.278
27/12/2023,6.315
28/12/2023,6.316
29/12/2023,6.355
